country,polity,v2cltort,v2clkill,v2clslavem,v2clslavef,v2cltrnslw,v2clrspct,v2clacjstm,v2clacjstw,v2clacjust,v2clsocgrp,v2cldiscm,v2cldiscw,v2clacfree,v2clrelig,v2clfmove,v2cldmovem,v2cldmovew,v2clstown,v2clprptym,v2clprptyw,v2clgencl,v2clgeocl,v2clpolcl
Afghanistan,-6.901960784313726,-0.93776,-0.8470533333333333,-0.6708933333333333,0.8769733333333334,-1.11944,-0.7509333333333333,-0.89408,-1.2683733333333334,0.05876000000000001,-0.9239066666666667,-0.7939466666666667,-0.9171333333333334,-0.5722933333333333,-1.2069466666666666,-0.6702133333333333,-1.0420533333333333,-1.9350533333333333,-0.8804133333333333,-0.4706933333333333,-1.6805466666666666,-1.90832,-1.2367333333333335,-0.11006666666666666
Albania,-2.7972972972972974,-0.6538666666666667,-1.2543866666666668,-1.11312,-0.8906933333333333,-0.48488,-0.9068799999999999,-1.3990133333333332,-0.4348266666666667,1.2193733333333334,2.033333333333333,-1.1719866666666665,-0.6861999999999999,-0.9780933333333333,-1.0988533333333332,-1.8860133333333333,-1.8312133333333334,-2.1242,-1.8191466666666665,-1.6079333333333334,-1.4634133333333332,0.6833066666666666,0.4048933333333334,-0.8659333333333332
Algeria,-4.631578947368421,0.15168,-0.17270666666666665,0.9225333333333333,0.30389333333333335,-1.1769733333333334,-1.0861866666666666,0.15526666666666666,0.19176,0.9894266666666667,0.37716,-0.10229333333333336,-0.09782666666666669,-0.78512,-1.4883199999999999,-0.5900133333333333,1.2092133333333335,-1.2187999999999999,-2.227586666666667,-0.72292,0.21517333333333336,0.19154666666666664,-0.18550666666666665,0.09895999999999998
Angola,-3.8636363636363638,-1.5402799999999999,-1.5172533333333333,-1.2387066666666666,-1.2832533333333334,-0.92996,-1.36696,-1.6420133333333333,-1.5122,-1.6967333333333334,-1.3909066666666667,-1.7320666666666666,-1.5273066666666666,-1.32808,0.19737333333333335,-1.3953733333333334,-1.79712,-1.4942266666666666,-1.3405733333333332,-1.1688933333333333,-1.3690666666666667,-0.5608266666666666,-0.9912000000000001,-1.2934453333333333
Argentina,0.9459459459459459,0.35024,0.44516000000000006,1.3509333333333333,1.4204933333333334,-0.8632266666666667,-0.13544,0.18974666666666665,0.3005466666666667,1.0181066666666667,1.2223066666666667,0.9029866666666667,0.8206266666666666,0.6101066666666667,1.63956,1.5122266666666666,1.3879066666666666,1.35,0.8046800000000001,1.4610933333333334,1.7871733333333333,1.7199466666666665,0.17509333333333332,1.0187066666666666
Armenia,4.5,0.2685666666666667,1.0158333333333334,1.5273666666666665,1.3982999999999999,0.7090666666666666,-0.25106666666666666,0.5671333333333334,0.7302333333333333,1.3545666666666667,1.5537,1.6698333333333333,1.5267,0.9244666666666667,0.5811999999999999,1.5314333333333332,2.0178666666666665,2.0541,1.4280666666666666,1.758,1.7568333333333332,1.5386666666666668,0.6037333333333333,1.0076
Australia,10,2.6149733333333334,2.56892,2.2280533333333334,1.9843733333333333,3.1654666666666667,3.0256666666666665,2.83092,2.66784,1.7125333333333335,1.0189333333333335,2.436986666666667,2.4916,2.2089866666666667,1.93108,1.85648,1.1872133333333332,1.32044,1.20784,1.5919466666666668,1.91448,1.4329333333333334,1.5066586666666666,2.4083893333333335
Austria,9.932432432432432,2.02496,2.4702,1.82704,1.9612266666666667,2.2607999999999997,2.1696,2.1735599999999997,2.1350533333333335,2.3218799999999997,2.1578133333333334,2.137426666666667,2.262226666666667,2.0097733333333334,1.3946666666666667,1.8947733333333332,1.2099066666666667,1.4854933333333333,0.15162666666666672,2.1345199999999998,2.2920133333333332,1.763251182795699,1.5217061505376344,1.9666683440860215
Azerbaijan,-6.178571428571429,-1.2086999999999999,0.5484666666666667,0.3688,0.4126333333333333,-1.2025333333333332,-1.1295666666666666,-0.7412,-0.6209,0.7689666666666667,1.0526,-0.02143333333333334,0.13896666666666668,-1.2333333333333334,-0.3216333333333333,0.49500000000000005,0.7462333333333333,1.0835,-0.5633333333333334,0.15446666666666667,0.4843,1.119,-1.5760333333333334,-1.4822333333333333
Bahrain,-9.020833333333334,-0.6272266666666667,-0.08397333333333332,0.87124,0.026760000000000003,-0.44742666666666664,-0.43345333333333336,-0.5577866666666667,-0.1954533333333333,0.42216,-0.79608,-0.5927066666666666,-0.44248,-0.8980400000000001,-0.2593333333333333,-0.39577333333333337,-0.32513333333333333,-0.3918933333333333,-2.021,0.94816,1.3664,-1.1139333333333332,-0.82808,-1.7889333333333333
Bangladesh,0.6382978723404256,-0.5277142857142857,-0.6043877551020408,1.1683061224489795,0.6291020408163265,0.24736734693877552,-1.1498163265306123,-0.08544897959183674,-0.1550408163265306,-0.8421836734693877,-0.9408571428571428,-0.5345102040816326,-0.547795918367347,0.5776530612244898,1.3865102040816326,0.710469387755102,1.714204081632653,-0.38477551020408163,0.5144285714285715,1.5678775510204082,1.9979795918367347,-0.20012244897959183,-1.342265306122449,-1.0371020408163265
Barbados,5.709383753501401,1.5713866666666667,2.272746666666667,1.4864,0.3605066666666667,1.23092,1.3274533333333334,1.53464,1.2992,1.2055866666666666,1.01804,1.6154933333333332,1.2712933333333334,0.45634666666666673,1.4391866666666666,1.63752,1.0845866666666668,1.26424,0.5496800000000001,1.16276,1.157,2.1074266666666666,1.6349466666666668,1.1408800000000001
Belarus,-4.75,-0.4269,1.5402333333333333,0.9031333333333333,0.9256333333333333,-0.8634666666666666,-1.0773,0.6553,1.1588333333333334,1.4151666666666667,1.2755333333333334,1.122,1.0043666666666666,-0.4383,0.06453333333333333,0.7775333333333333,1.6089666666666667,1.9585333333333335,-1.4484666666666666,0.013599999999999994,1.2605,2.5693333333333332,1.1783333333333332,-0.6375333333333333
Belgium,9.675675675675675,2.640066666666667,2.5514666666666668,1.8733466666666667,1.6996133333333334,2.7226266666666668,2.98096,2.8428,2.6353999999999997,2.381866666666667,2.331253333333333,2.0591600000000003,1.92208,2.4576,1.9234133333333334,2.2303466666666667,2.0705066666666667,2.236733333333333,1.5736666666666665,1.9490266666666667,2.013133333333333,1.93308,1.52136,2.294146666666667
Benin,0.288135593220339,-0.34571999999999997,0.45422666666666667,0.8394666666666667,1.1482933333333334,0.37218666666666667,-0.6482533333333333,0.36801333333333336,0.6890133333333334,1.4571866666666666,1.4001333333333335,0.33284,0.51036,1.1834666666666667,0.01587999999999999,1.1850533333333333,0.9306666666666666,1.2513733333333332,0.22298666666666664,0.98568,1.0688666666666666,0.7513733333333333,-0.17241333333333334,0.2806533333333333
Bhutan,-7.675675675675675,0.47798666666666667,1.0574666666666666,0.9264266666666667,1.1344133333333333,0.4666,0.9359466666666667,0.6682533333333334,0.6732133333333333,0.68533333333333335,-0.05026666666666668,-0.6064933333333333,-0.27409333333333336,-0.6819066666666667,-0.5639333333333333,0.04809333333333333,-0.2748933333333333,-0.13637333333333332,-0.7622666666666666,0.7003733333333333,0.7418533333333333,0.6761466666666667,0.06725333333333333,-0.5560933333333333
Bolivia,1.7432432432432432,0.25137333333333334,0.40888,0.23546666666666663,0.22389333333333333,-0.3759333333333333,-0.7232133333333333,-0.30848000000000003,-0.31823999999999997,0.11594666666666666,-0.00649333333333334,0.3848933333333333,-0.3575066666666667,0.18939999999999999,0.6102933333333334,-0.32093333333333335,0.3886,0.3749866666666667,0.21174666666666667,0.02481333333333334,-0.052813333333333344,0.019807999999999992,-0.6625413333333333,-0.23889866666666665
Bosnia and Herzegovina,0,1.3066785714285714,1.39525,1.545392857142857,1.4076785714285716,0.6301071428571429,-0.5606785714285715,0.6283214285714286,0.6298214285714285,1.1670357142857142,0.7403928571428571,1.423107142857143,0.7161428571428571,1.176642857142857,1.1511785714285714,1.6541071428571428,0.014678571428571421,0.06600000000000002,0.16424999999999998,0.9418571428571428,1.2243214285714286,1.4593571428571428,1.192392857142857,1.4428214285714285
Botswana,7.018867924528302,1.1628266666666667,1.5844266666666666,0.13710666666666665,0.4114133333333333,0.8057333333333333,1.7249466666666666,1.0224933333333333,0.9201466666666667,0.052333333333333364,-0.80464,1.3109066666666667,0.94508,1.2249866666666667,0.9274666666666667,1.1739333333333333,1.1728933333333333,0.4998266666666667,-0.34314666666666666,0.8007333333333333,0.16553333333333334,0.9295866666666667,1.2821466666666668,1.0997466666666667
Brazil,3.2027027027027026,-0.25253333333333333,-0.3924133333333333,-0.1413066666666667,-0.22401333333333334,0.2708933333333333,-0.35776,-0.14636000000000002,0.35224,0.08484000000000001,0.24817333333333333,0.7203733333333334,0.47828,0.6538266666666667,1.5195066666666666,1.3254533333333334,1.2388266666666665,1.2131866666666666,0.547,1.6312533333333334,1.2283466666666667,0.8311866666666666,0.24558666666666665,0.9579866666666667
Bulgaria,-0.8243243243243243,0.6173466666666667,0.7985599999999999,0.74016,0.6519866666666667,-0.30223999999999995,0.14214666666666667,-0.18381333333333333,0.29912,1.87628,0.5114799999999999,0.015213333333333407,0.30894666666666665,-0.3489466666666667,-1.1724,-0.5405733333333334,-1.0205066666666667,-0.3925333333333333,-1.70984,-1.53192,0.5330933333333333,2.0006266666666668,1.0574133333333333,0.30614666666666657
Burkina Faso,-3.1186440677966103,-0.2903972602739726,-0.7035753424657534,0.8965616438356164,1.1906438356164384,0.5844520547945206,0.36978082191780826,-0.11639726027397261,0.27493150684931505,0.9564794520547946,2.0795068493150684,-0.06261643835616437,0.22047945205479455,0.8252328767123288,1.2874931506849314,0.7036027397260274,1.3241780821917808,1.2243013698630136,-0.2023972602739726,1.2573972602739727,0.9924383561643836,1.0877066666666666,0.245672,0.5932826666666666
Burma/Myanmar,-3.056338028169014,-0.77776,-0.61624,-1.0635866666666667,-0.8558266666666666,-0.97976,-1.3751333333333333,-1.0463333333333333,-0.8432666666666666,-0.60392,-1.4251866666666666,-0.5783333333333334,-1.13656,-1.40512,-0.33146666666666663,-0.8230266666666666,-1.3523466666666666,-0.9104800000000001,-1.4310533333333333,-1.52316,-1.0141066666666667,-0.304616,-0.7505066666666667,-0.740192
Burundi,-2.508771929824561,-1.1290666666666667,-1.14988,0.44684,0.8705466666666667,-1.0303066666666667,-1.2965600000000002,2.1333333333331864e-4,-1.02348,-0.17767999999999998,1.1016133333333333,-0.5713866666666666,-0.042559999999999994,-0.52436,1.0586666666666666,-0.6419466666666667,0.03867999999999998,-0.4493066666666667,-0.41752,-0.2492,-2.5181733333333334,-0.21723733333333334,-0.956312,-0.6315786666666667
Cambodia,-2.8596491228070176,-0.8433066666666666,-0.7465333333333334,-0.3078,-0.7243466666666667,-0.45232,-0.4766,-0.5970533333333333,-0.7284933333333333,-1.46964,-1.08764,-0.7438933333333333,-0.7031733333333333,-0.8192266666666667,-0.52328,-0.5596133333333333,-0.04422666666666668,-0.2106666666666667,-0.09158666666666665,-0.5830533333333333,-0.21159999999999998,-0.48045333333333334,-0.7540586666666667,-0.3186453333333333
Cameroon,-5.8474576271186445,-0.8486271186440678,-0.7475084745762712,0.8637966101694915,-0.1760677966101695,-1.0379322033898306,-1.0158135593220339,-0.31191525423728816,-0.22566101694915253,0.8287457627118644,0.7867796610169492,-0.6176271186440678,0.08989830508474575,-0.24584745762711865,0.5875423728813559,0.7453559322033898,1.0726440677966103,1.4773728813559324,-0.015830508474576274,1.2581864406779661,1.0844745762711865,0.8317986666666667,-0.19812666666666667,0.127552
Canada,10,2.08148,2.32944,2.073586666666667,1.7284266666666666,2.1972266666666664,2.2252533333333333,2.4400399999999998,1.7356533333333333,1.6082133333333333,1.33168,2.1773866666666666,2.1843066666666666,1.9679866666666668,1.5821066666666666,2.0796,1.5151733333333333,1.9705866666666667,1.2580133333333334,1.5477333333333334,1.9090666666666665,1.4169466666666666,1.71532,2.012306666666667
Cape Verde,4.613636363636363,0.6797733333333332,1.1934533333333333,0.57724,-0.052879999999999934,-0.07285333333333333,0.3457333333333334,-0.2327066666666667,-0.023266666666666717,0.76132,0.13716,-0.52368,-0.3142933333333334,-0.33061333333333337,0.44261333333333336,1.1700933333333334,0.96204,0.8446933333333333,-0.7911466666666667,-0.05777333333333332,0.7324133333333334,-0.20058666666666664,0.5210799999999999,-0.05914666666666669
Central African Republic,-2.8983050847457625,-0.30129333333333336,-0.6756933333333334,-0.21867999999999999,-0.28926666666666667,-0.4769333333333333,-0.6562399999999999,-0.99236,-0.6985466666666666,-0.6370266666666667,-1.04996,-0.39972,-0.6824666666666667,0.45912,0.6752,-0.96256,-0.7716266666666667,-0.14950666666666668,1.00764,-0.8074666666666667,-0.48345333333333335,-0.34297333333333335,-0.8445866666666666,1.08264
Chad,-4.610169491525424,-1.6353066666666667,-1.35204,-0.4931866666666667,-0.6140533333333333,-1.2473866666666666,-0.33485333333333334,-1.2704533333333334,-1.2888133333333334,-0.3689866666666667,-0.73424,-1.18344,-1.1001866666666666,0.14388,0.35508,-0.7164933333333333,0.46346666666666664,0.8485466666666667,1.2595466666666666,1.1961466666666667,1.0767866666666666,-0.097824,-0.28660266666666667,0.17629866666666666
Chile,3.918918918918919,0.6647466666666667,0.7940533333333334,1.4274,1.5132133333333333,0.6886266666666666,1.1064533333333333,0.65376,0.5675466666666666,-0.06276000000000001,0.38104,0.46590666666666664,0.5102800000000001,0.5531866666666667,1.1752666666666667,1.09696,0.82624,0.9939733333333334,1.26848,1.03868,0.15421333333333337,-0.2768,-0.29639999999999994,0.3133066666666667
China,-7.328767123287672,-1.2197333333333333,-0.5194533333333333,-1.0278,-0.7224933333333333,-1.0988666666666667,-1.12564,-1.0459333333333334,-0.7188,0.5420666666666667,-1.0414933333333334,-1.4664133333333333,-0.9888533333333334,-1.59264,-2.0097733333333334,-1.5131466666666666,-1.7035333333333333,-1.4316266666666666,-2.0074133333333335,-1.7945733333333334,-0.82504,0.3956666666666666,-0.18978666666666666,-0.12941333333333332
Colombia,5.797297297297297,-0.22272,-0.7034266666666666,0.7096,-0.36546666666666666,0.26857333333333333,-0.5143333333333333,-0.7218133333333333,-0.30844,-0.6813466666666667,-0.5274266666666667,0.01420000000000001,0.28644000000000003,-0.03488,0.6156133333333333,1.52088,0.26525333333333334,0.9572533333333334,1.3407466666666665,0.8600533333333333,-0.2521999999999999,-0.22089599999999998,-0.9600293333333333,0.1326
Comoros,1.7727272727272727,-0.22179729729729727,0.27422972972972975,-0.6787837837837838,0.12405405405405404,-0.36817567567567566,-0.09209459459459458,0.13602702702702701,-0.3533783783783784,0.7217297297297297,0.7628513513513513,-0.39468918918918916,0.2928513513513514,1.1917432432432433,-1.1260135135135134,-0.3687297297297298,-0.518054054054054,-1.0154594594594595,-0.8984324324324324,0.17140540540540544,1.105635135135135,-0.22579729729729728,-0.20236486486486485,-0.18545945945945946
Costa Rica,10,1.7348533333333334,2.51752,2.3702,1.9901466666666667,1.8041866666666666,1.9811466666666666,1.9352933333333333,1.5615999999999999,1.5640666666666667,1.1685866666666667,2.5999733333333332,2.359026666666667,2.416506666666667,1.1686933333333334,1.5679333333333334,1.5536666666666665,1.7146666666666666,0.61248,1.74996,1.9128133333333333,1.2666,0.8686666666666667,1.4890666666666668
Croatia,4.821428571428571,1.9619655172413792,1.820103448275862,1.5870344827586207,1.5598275862068964,0.7687586206896552,0.4396551724137931,0.9832068965517241,1.2171724137931035,1.2731379310344828,0.3713448275862069,1.6271724137931034,1.444206896551724,1.013793103448276,1.2403103448275863,1.6735862068965517,1.291344827586207,1.6352413793103449,0.6076551724137931,1.694793103448276,2.004862068965517,1.831655172413793,1.2779655172413793,1.7897586206896552
Cuba,-5.837837837837838,1.0117866666666666,1.1694,1.1091733333333333,1.1736666666666666,-0.9076799999999999,-0.7843066666666667,-1.2137066666666667,-1.0316400000000001,1.6988,0.7986266666666666,-1.6165066666666668,-1.5325466666666665,-1.34152,-1.0979333333333334,-1.46444,-1.08408,-0.95604,-2.3673733333333336,-1.65552,-1.10564,1.07664,0.44952,-1.1600266666666668
Cyprus,8.745762711864407,0.7284533333333334,1.1938266666666666,0.9896933333333333,-0.25462666666666667,1.0533066666666666,0.62584,0.8847200000000001,1.3136266666666667,1.0789333333333333,0.06654666666666668,0.7869866666666667,0.6325333333333333,0.9561333333333333,0.7575866666666666,1.16584,0.5647466666666666,-0.55816,0.39185333333333333,1.16052,1.2323066666666667,1.24252,0.6122133333333333,1.4014533333333334
Czech Republic,9.5,0.89864,1.0898133333333333,0.28976,0.5501866666666667,0.1918133333333333,0.16604000000000002,0.2909333333333333,0.2433066666666667,2.1763333333333335,0.6748533333333333,0.28113333333333335,0.25672,0.2781733333333334,-0.11676,-0.21254666666666663,0.4200933333333333,0.6711466666666667,-1.3662666666666665,0.14749333333333328,0.7883466666666668,1.9649733333333335,1.33908,-0.11430666666666665
Democratic Republic of the Congo,-3.406779661016949,-1.72204,-1.8048,-1.3031466666666667,-0.4341066666666667,-1.6233066666666667,-1.8621066666666666,-1.4822666666666666,-2.18568,-1.1663466666666666,0.5668,-1.3253733333333333,-1.3434133333333333,-0.13518666666666665,0.21796000000000001,-1.2094933333333333,-1.49496,-0.45668000000000003,-0.8645333333333333,-1.1860666666666666,-1.9788133333333333,0.2973866666666667,-1.29756,-1.0886
Denmark,10,3.01304,2.78312,2.3357466666666666,2.6908533333333335,3.293413333333333,3.557746666666667,3.0067999999999997,3.0376266666666667,2.8908,2.6094,2.862013333333333,3.0250266666666668,2.7121466666666665,2.3054533333333334,2.3390133333333334,1.6934,1.7140266666666668,0.80844,2.1373466666666667,2.5249066666666664,2.4295066666666667,1.53508,2.6364933333333336
Djibouti,-2.857142857142857,-0.1714133333333333,-0.37849333333333335,-0.6828133333333333,-1.1438266666666665,-0.5464,-0.88268,-0.9169466666666667,-1.5840666666666667,-0.42741333333333337,-0.9167333333333334,-0.5410533333333334,-0.6308,-0.6844133333333333,-0.7330399999999999,-1.25516,-0.5178666666666667,-0.6764399999999999,-1.22148,-1.0518666666666667,-1.9173333333333333,-1.9057733333333333,-1.7342933333333332,-0.5322933333333333
Dominican Republic,1.554054054054054,-0.4227333333333333,-0.04441333333333332,-0.030439999999999988,1.57264,-0.63049333333333335,-0.9717733333333334,0.04454666666666668,0.26664,-0.5724266666666666,-1.7757066666666668,0.28934666666666664,0.09654666666666663,-0.34852,1.0694533333333334,0.2632933333333334,0.68828,0.82628,0.6144,1.0351733333333333,0.94476,-0.9074,-1.5323333333333333,-0.32452
Ecuador,3.7567567567567566,0.7620266666666666,1.0500933333333333,0.84988,0.52684,0.7948533333333333,-0.7795333333333333,-0.8110133333333333,-0.5149466666666667,-0.0982666666666667,-1.0023733333333333,1.13188,1.0135866666666666,0.9842933333333334,1.59284,1.0734533333333334,0.97632,1.2519066666666667,0.9642799999999999,1.11268,1.2612933333333334,0.36182666666666663,-0.7231466666666667,-0.14316
Egypt,-5.162162162162162,-1.23576,-0.5578266666666667,-0.34188,0.749,-0.65848,-0.6656933333333334,0.3062266666666667,0.4158266666666667,0.2890933333333333,-0.17464000000000002,-1.1081866666666667,-1.1240533333333333,-0.8424933333333333,-0.43812,-0.14126666666666665,1.2289333333333332,-0.22381333333333334,-0.049,-0.06346666666666666,0.32369333333333333,-0.30442481159420287,-0.0604927536231884,-0.2952051014492754
El Salvador,1.6891891891891893,-0.8815466666666666,-0.3619466666666667,-0.24872,-0.33644,-1.23928,-0.9188000000000001,-2.08196,-1.8362399999999999,-1.5967466666666668,-1.1557066666666667,-0.22446666666666665,-0.2641466666666667,-0.4797733333333333,0.54084,0.63104,-0.37645333333333336,0.2984133333333333,1.3638133333333333,-1.0908666666666667,-0.3904666666666667,-0.09173600000000001,-0.8940746666666667,-0.28447999999999996
Equatorial Guinea,-6.254901960784314,-1.5265466666666667,-1.25272,0.07686666666666668,-0.03646666666666663,-1.4404666666666666,-1.5542933333333333,-1.3716933333333334,-1.4838666666666667,-0.6657333333333333,-1.3757733333333333,-1.9125866666666667,-1.7620666666666667,-1.8432133333333334,-1.3270266666666666,-1.5323066666666667,-2.2261866666666665,-1.9276933333333333,-1.5899733333333332,-0.5390666666666666,-0.89092,-1.1920933333333332,-1.3148133333333334,-1.4665466666666667
Eritrea,-6.6923076923076925,-1.3907466666666668,-1.78728,-1.1372,-1.2775333333333334,-1.4760666666666666,-1.5531866666666667,-1.3870799999999999,-1.3767333333333334,0.84724,-1.0578,-1.6382,-1.4797733333333334,-1.96772,-0.9181066666666666,-1.81544,-1.6487466666666666,-0.56236,-1.80716,-1.1004133333333332,-1.1696933333333333,-0.8021466666666667,-0.56796,-1.62016
Estonia,8.071428571428571,2.506666666666667,2.6871,1.9720333333333333,1.7850666666666666,2.1430000000000002,2.1168666666666667,2.404,1.9553666666666667,2.4304333333333332,1.5632,1.8980000000000001,1.8271666666666666,2.3875,1.5681666666666667,2.0090666666666666,1.6640333333333333,1.9140333333333333,1.2679,1.9526333333333334,2.2337333333333333,2.6792,1.8305333333333333,2.0732999999999997
Eswatini,-8.509803921568627,-0.9749066666666667,0.47558666666666666,-0.71064,-0.813,-0.4033466666666667,-1.2723066666666667,0.58228,-0.5483866666666667,-0.9207066666666667,0.7421333333333333,-1.3726533333333333,-0.4493333333333333,-1.4238133333333334,-0.5438666666666666,-0.9122666666666667,-0.3502533333333333,-0.26384,-1.27064,-1.2943066666666667,-2.2230666666666665,-0.48328347826086954,-0.8721460869565217,-0.6955144347826087
Ethiopia,-5.36,-0.8727733333333334,-1.0337733333333334,-0.40413333333333334,-0.8782,-0.41990666666666665,-0.9989066666666667,-0.6158,-0.98740000000000006,-0.16158666666666666,-1.1062266666666667,-1.5806266666666666,-1.24548,-0.9301999999999999,0.09446666666666666,-0.9749466666666666,0.10198666666666666,-1.08108,-1.02704,-1.3666133333333332,-1.2954533333333333,-0.7164141449275362,-0.5633807536231884,-0.634639768115942
Fiji,4.204081632653061,0.91212,1.9214666666666667,1.26864,1.4799333333333333,0.47938666666666663,1.35556,0.7404133333333334,0.38542666666666664,1.1393333333333333,0.3271733333333333,0.17795999999999995,-0.23958666666666667,0.91684,1.4033333333333333,0.5049733333333334,1.05876,1.0398666666666667,0.15565333333333334,0.9954666666666667,0.26216,-0.10222666666666667,-0.90292,-0.005786666666666668
Finland,10,2.9396,2.7401866666666663,2.0022266666666666,1.8440666666666667,3.2818266666666664,2.8056,3.0679066666666666,2.4304666666666668,2.5206,2.324186666666667,1.9085066666666666,2.1343466666666666,2.1117066666666666,2.46836,2.41972,1.8273333333333335,2.202306666666667,0.8087333333333334,2.09148,2.1450266666666664,2.1197333333333335,1.42908,2.111266666666667
France,8.27027027027027,2.154186666666667,2.0623333333333336,1.71984,1.7655866666666666,2.9699866666666668,2.27792,2.3728266666666666,1.9235733333333334,1.4264000000000001,1.63784,2.24684,2.2207066666666666,2.4201333333333332,1.6959066666666667,2.055,1.9346133333333333,2.25896,0.7016933333333334,2.1464399999999997,2.14972,0.848,1.53696,1.8310133333333334
Gabon,-5.11864406779661,-0.03692000000000002,0.7302266666666667,0.21570666666666666,0.10326666666666669,0.16116000000000003,0.36768,1.3333333333328361e-5,0.14468,-0.49664,0.6691866666666667,0.15726666666666667,0.11078666666666666,0.8108666666666666,0.5436266666666667,-0.31382666666666664,1.2957333333333334,1.16288,-0.62992,-0.45344,-0.40025333333333335,1.2889733333333333,-1.0318933333333333,0.5688
Georgia,5.714285714285714,-0.2319,0.8251999999999999,1.4300333333333333,1.4554666666666667,0.523,-0.05593333333333335,0.6536,0.6387333333333334,1.4511666666666667,1.1852333333333334,1.3735,1.4165,1.2724,0.5415666666666666,1.7521,1.1322666666666668,1.3277333333333334,0.745,0.5918,1.288,1.7233,1.4240666666666666,1.5825333333333333
German Democratic Republic,-8.7,-1.2186626666666667,-0.3332653333333333,-0.9690173333333333,-0.8844746666666666,-1.0388453333333334,-1.1871426666666667,-0.8462973333333333,-1.1681466666666667,-0.7180266666666667,-0.12517733333333336,-1.6314266666666666,-1.4412466666666668,-2.0246826666666666,-1.6066493333333334,-1.4149653333333334,-1.4887773333333334,-1.4029586666666667,-1.871752,-1.3696253333333333,-1.4475186666666666,-0.44090114285714277,-0.2761531428571429,-0.9061311020408163
Germany,10,2.8361830985915493,2.586154929577465,2.7304647887323945,2.6168450704225354,3.138338028169014,3.4573380281690143,3.100098591549296,2.9138732394366196,2.580774647887324,2.2242816901408453,2.345887323943662,2.119718309859155,2.0820140845070423,1.9290281690140845,2.4477605633802817,1.8775915492957747,1.6826197183098592,1.751732394366197,2.0472535211267604,2.027507042253521,2.149845070422535,1.5969154929577465,2.4875211267605635
